youtube_id,original_name,new_name,new_path
UOheOYV-H2U,UOheOYV-H2U_frames000004734.jpeg,bf672bcf-8aad-4684-aa4f-ddac0e4ec7ed.jpeg,grouped_dataset/group_80/bf672bcf-8aad-4684-aa4f-ddac0e4ec7ed.jpeg
hC52UDojKvY,hC52UDojKvY_00076.jpeg,d4530fc0-5ac3-40fb-a320-2384c1390d38.jpeg,grouped_dataset/group_81/d4530fc0-5ac3-40fb-a320-2384c1390d38.jpeg
rm_HXLZtIoA,rm_HXLZtIoA_00065.jpeg,b9cdc3a4-4e0a-421a-be4b-5767af50459a.jpeg,grouped_dataset/group_82/b9cdc3a4-4e0a-421a-be4b-5767af50459a.jpeg
7iCczf3fHWY,7iCczf3fHWY_frames000002122.jpeg,d86a1451-553f-40b4-9fd8-980795149d6c.jpeg,grouped_dataset/group_83/d86a1451-553f-40b4-9fd8-980795149d6c.jpeg
dvljiQgpCAE,dvljiQgpCAE_frames000005574.jpeg,3de9d10a-0825-41d2-8b26-166f27fda613.jpeg,grouped_dataset/group_84/3de9d10a-0825-41d2-8b26-166f27fda613.jpeg
I_TTJfU2Y64,I_TTJfU2Y64_00196.jpeg,dcde2934-8cf3-4fe2-b396-a0cb4b09bd52.jpeg,grouped_dataset/group_85/dcde2934-8cf3-4fe2-b396-a0cb4b09bd52.jpeg
7iCczf3fHWY,7iCczf3fHWY_frames000000824.jpeg,7fb1a174-3dcf-47c2-93fd-2b16bff22a2d.jpeg,grouped_dataset/group_86/7fb1a174-3dcf-47c2-93fd-2b16bff22a2d.jpeg
B3nfjlD1zvk,B3nfjlD1zvk_frames000000556.jpeg,2c0c3bb1-94df-40bb-8d87-3029e794395c.jpeg,grouped_dataset/group_87/2c0c3bb1-94df-40bb-8d87-3029e794395c.jpeg
UOheOYV-H2U,UOheOYV-H2U_frames000009362.jpeg,12360e5e-2565-4faf-b00d-021405d4f49d.jpeg,grouped_dataset/group_88/12360e5e-2565-4faf-b00d-021405d4f49d.jpeg
7iCczf3fHWY,7iCczf3fHWY_frames000002825.jpeg,cee8a6ac-ff8a-4904-bf0a-ba4f3ae7f561.jpeg,grouped_dataset/group_89/cee8a6ac-ff8a-4904-bf0a-ba4f3ae7f561.jpeg
UOheOYV-H2U,UOheOYV-H2U_frames000003430.jpeg,e2124cc3-29b2-4bab-b3fe-e106f44d3b10.jpeg,grouped_dataset/group_90/e2124cc3-29b2-4bab-b3fe-e106f44d3b10.jpeg
cn_taKva-AQ,cn_taKva-AQ_frames000000044.jpeg,f6df200d-11b6-43f9-a071-6df2f202ebcb.jpeg,grouped_dataset/group_91/f6df200d-11b6-43f9-a071-6df2f202ebcb.jpeg
jZilbLz0m8I,jZilbLz0m8I_frames000003548.jpeg,562c460c-434f-466b-a60d-e866a7d31cf3.jpeg,grouped_dataset/group_92/562c460c-434f-466b-a60d-e866a7d31cf3.jpeg
UOheOYV-H2U,UOheOYV-H2U_frames000008738.jpeg,462abd94-6367-4203-93d0-674a14169e41.jpeg,grouped_dataset/group_93/462abd94-6367-4203-93d0-674a14169e41.jpeg
hz0AxBPNOuw,hz0AxBPNOuw_00054.jpeg,c4d54712-0aa8-4b53-943d-f94c5a39c758.jpeg,grouped_dataset/group_94/c4d54712-0aa8-4b53-943d-f94c5a39c758.jpeg
Fd1KJ3RWxaw,Fd1KJ3RWxaw_frames000000522.jpeg,9c37f8eb-0e16-469c-b338-c3c3ccecf709.jpeg,grouped_dataset/group_95/9c37f8eb-0e16-469c-b338-c3c3ccecf709.jpeg
hz0AxBPNOuw,hz0AxBPNOuw_00127.jpeg,34c4d1ac-5516-4f1b-ab26-157b3cb36c0a.jpeg,grouped_dataset/group_96/34c4d1ac-5516-4f1b-ab26-157b3cb36c0a.jpeg
mccAZepwlyk,mccAZepwlyk_00171.jpeg,f1ecf388-05cd-42ae-a8cc-3630236d08fa.jpeg,grouped_dataset/group_97/f1ecf388-05cd-42ae-a8cc-3630236d08fa.jpeg
aLg98S4sxsE,aLg98S4sxsE_frames000000289.jpeg,5df9270e-5338-4f87-ad9a-c887188a2245.jpeg,grouped_dataset/group_98/5df9270e-5338-4f87-ad9a-c887188a2245.jpeg
UOheOYV-H2U,UOheOYV-H2U_frames000002838.jpeg,5630e53f-95dc-45c3-867c-dca05e6a10d4.jpeg,grouped_dataset/group_99/5630e53f-95dc-45c3-867c-dca05e6a10d4.jpeg
cn_taKva-AQ,cn_taKva-AQ_frames000011828.jpeg,31ac3e69-add4-4bc7-be25-245b783c2a7b.jpeg,grouped_dataset/group_0/31ac3e69-add4-4bc7-be25-245b783c2a7b.jpeg
3CWzCwCmHho,3CWzCwCmHho_frames000002106.jpeg,9d07ce4a-f558-4c78-bfe1-6f7817a10ae0.jpeg,grouped_dataset/group_1/9d07ce4a-f558-4c78-bfe1-6f7817a10ae0.jpeg
ixllGOX0Evw,ixllGOX0Evw_frames000002144.jpeg,7897e6c2-c805-4196-a127-bc27b34fe38f.jpeg,grouped_dataset/group_2/7897e6c2-c805-4196-a127-bc27b34fe38f.jpeg
dvljiQgpCAE,dvljiQgpCAE_frames000001321.jpeg,61e86c59-071f-4cd6-8759-06ca404d6be0.jpeg,grouped_dataset/group_3/61e86c59-071f-4cd6-8759-06ca404d6be0.jpeg
Fd1KJ3RWxaw,Fd1KJ3RWxaw_frames000001705.jpeg,bedb681e-b0d7-4003-be9f-d1b927201ef1.jpeg,grouped_dataset/group_4/bedb681e-b0d7-4003-be9f-d1b927201ef1.jpeg
UOheOYV-H2U,UOheOYV-H2U_frames000001462.jpeg,50c93f19-98f9-4769-93e7-e60123c57e00.jpeg,grouped_dataset/group_5/50c93f19-98f9-4769-93e7-e60123c57e00.jpeg
7iCczf3fHWY,7iCczf3fHWY_frames000003371.jpeg,21b643f8-162c-45ad-bea7-3bab5e2766b8.jpeg,grouped_dataset/group_6/21b643f8-162c-45ad-bea7-3bab5e2766b8.jpeg
dvljiQgpCAE,dvljiQgpCAE_frames000005345.jpeg,15f2cabf-5e7c-4a14-88ee-a1dd3fba99d9.jpeg,grouped_dataset/group_7/15f2cabf-5e7c-4a14-88ee-a1dd3fba99d9.jpeg
AWeLiVf-Pew,AWeLiVf-Pew_00231.jpeg,c52850dd-605d-4a53-9b50-b322ce803fe6.jpeg,grouped_dataset/group_8/c52850dd-605d-4a53-9b50-b322ce803fe6.jpeg
B3nfjlD1zvk,B3nfjlD1zvk_frames000002044.jpeg,ead27e35-ddc9-44de-ad5e-fd25b9d5d414.jpeg,grouped_dataset/group_9/ead27e35-ddc9-44de-ad5e-fd25b9d5d414.jpeg
aLg98S4sxsE,aLg98S4sxsE_frames000003304.jpeg,452acbc7-6b8c-455a-8ad4-950d77735ad7.jpeg,grouped_dataset/group_10/452acbc7-6b8c-455a-8ad4-950d77735ad7.jpeg
B3nfjlD1zvk,B3nfjlD1zvk_frames000002837.jpeg,02093064-e360-478e-95a4-fa2eea5b5f33.jpeg,grouped_dataset/group_11/02093064-e360-478e-95a4-fa2eea5b5f33.jpeg
